nodeId,posX,posY,velX,velY,timestamp
0,8,6,8,6,1
1,39,7,9,7,1
3,98,7,8,7,1
4,129,6,9,6,1
5,160,7,10,7,1
6,188,6,8,6,1
7,219,7,9,7,1
8,250,6,10,6,1
9,278,7,8,7,1
10,9,36,9,6,1
11,40,37,10,7,1
12,68,36,8,6,1
14,130,36,10,6,1
15,158,37,8,7,1
16,189,36,9,6,1
17,220,37,10,7,1
18,248,36,8,6,1
19,279,37,9,7,1
20,10,66,10,6,1
21,38,67,8,7,1
22,69,66,9,6,1
23,100,67,10,7,1
24,128,66,8,6,1
25,159,67,9,7,1
26,190,66,10,6,1
27,218,67,8,7,1
28,249,66,9,6,1
29,280,67,10,7,1
30,8,96,8,6,1
31,39,97,9,7,1
32,70,96,10,6,1
33,98,97,8,7,1
34,129,96,9,6,1
35,160,97,10,7,1
36,188,96,8,6,1
37,219,97,9,7,1
38,250,96,10,6,1
39,278,97,8,7,1
40,9,126,9,6,1
41,40,127,10,7,1
42,68,126,8,6,1
43,99,127,9,7,1
44,130,126,10,6,1
45,158,127,8,7,1
47,220,127,10,7,1
48,248,126,8,6,1
49,279,127,9,7,1
50,10,156,10,6,1
51,38,157,8,7,1
52,69,156,9,6,1
53,100,157,10,7,1
54,128,156,8,6,1
55,159,157,9,7,1
56,190,156,10,6,1
57,218,157,8,7,1
58,249,156,9,6,1
59,280,157,10,7,1
60,8,186,8,6,1
61,39,187,9,7,1
62,70,186,10,6,1
63,98,187,8,7,1
64,129,186,9,6,1
65,160,187,10,7,1
66,188,186,8,6,1
67,219,187,9,7,1
68,250,186,10,6,1
69,278,187,8,7,1
70,9,216,9,6,1
71,40,217,10,7,1
72,68,216,8,6,1
73,99,217,9,7,1
74,130,216,10,6,1
75,158,217,8,7,1
76,189,216,9,6,1
77,220,217,10,7,1
78,248,216,8,6,1
79,279,217,9,7,1
80,10,246,10,6,1
81,38,247,8,7,1
82,69,246,9,6,1
83,100,247,10,7,1
84,128,246,8,6,1
85,159,247,9,7,1
86,190,246,10,6,1
87,218,247,8,7,1
88,249,246,9,6,1
89,280,247,10,7,1
90,8,276,8,6,1
91,39,277,9,7,1
92,70,276,10,6,1
93,98,277,8,7,1
94,129,276,9,6,1
95,160,277,10,7,1
96,188,276,8,6,1
98,250,276,10,6,1
99,278,277,8,7,1
100,9,306,9,6,1
102,68,306,8,6,1
103,99,307,9,7,1
104,130,306,10,6,1
105,158,307,8,7,1
106,189,306,9,6,1
107,220,307,10,7,1
108,248,306,8,6,1
109,279,307,9,7,1
110,10,336,10,6,1
111,38,337,8,7,1
112,69,336,9,6,1
113,100,337,10,7,1
114,128,336,8,6,1
115,159,337,9,7,1
116,190,336,10,6,1
117,218,337,8,7,1
118,249,336,9,6,1
119,280,337,10,7,1
120,8,366,8,6,1
121,39,367,9,7,1
122,70,366,10,6,1
123,98,367,8,7,1
124,129,366,9,6,1
125,160,367,10,7,1
126,188,366,8,6,1
127,219,367,9,7,1
128,250,366,10,6,1
129,278,367,8,7,1
131,40,397,10,7,1
0,8.8,6.6,8,6,1.1
