timestamp,attackerId,attackType,detail
1,0,ddos_attack,0
1,0,ddos_attack,1
1,0,ddos_attack,2
1,0,ddos_attack,3
1,0,ddos_attack,4
1,0,ddos_attack,5
1,0,ddos_attack,6
1,0,ddos_attack,7
1,0,ddos_attack,8
1,0,ddos_attack,9
1.1,0,ddos_attack,0
1.1,0,ddos_attack,1
1.1,0,ddos_attack,2
1.1,0,ddos_attack,3
1.1,0,ddos_attack,4
1.1,0,ddos_attack,5
1.1,0,ddos_attack,6
1.1,0,ddos_attack,7
1.1,0,ddos_attack,8
1.1,0,ddos_attack,9
1.2,0,ddos_attack,0
1.2,0,ddos_attack,1
1.2,0,ddos_attack,2
1.2,0,ddos_attack,3
1.2,0,ddos_attack,4
1.2,0,ddos_attack,5
1.2,0,ddos_attack,6
1.2,0,ddos_attack,7
1.2,0,ddos_attack,8
1.2,0,ddos_attack,9
1.3,0,ddos_attack,0
1.3,0,ddos_attack,1
1.3,0,ddos_attack,2
1.3,0,ddos_attack,3
1.3,0,ddos_attack,4
1.3,0,ddos_attack,5
1.3,0,ddos_attack,6
1.3,0,ddos_attack,7
1.3,0,ddos_attack,8
1.3,0,ddos_attack,9
1.4,0,ddos_attack,0
1.4,0,ddos_attack,1
1.4,0,ddos_attack,2
1.4,0,ddos_attack,3
1.4,0,ddos_attack,4
1.4,0,ddos_attack,5
1.4,0,ddos_attack,6
1.4,0,ddos_attack,7
1.4,0,ddos_attack,8
1.4,0,ddos_attack,9
1.5,0,ddos_attack,0
1.5,0,ddos_attack,1
1.5,0,ddos_attack,2
1.5,0,ddos_attack,3
1.5,0,ddos_attack,4
1.5,0,ddos_attack,5
1.5,0,ddos_attack,6
1.5,0,ddos_attack,7
1.5,0,ddos_attack,8
1.5,0,ddos_attack,9
1.6,0,ddos_attack,0
1.6,0,ddos_attack,1
1.6,0,ddos_attack,2
1.6,0,ddos_attack,3
1.6,0,ddos_attack,4
1.6,0,ddos_attack,5
1.6,0,ddos_attack,6
1.6,0,ddos_attack,7
1.6,0,ddos_attack,8
1.6,0,ddos_attack,9
1.7,0,ddos_attack,0
1.7,0,ddos_attack,1
1.7,0,ddos_attack,2
1.7,0,ddos_attack,3
1.7,0,ddos_attack,4
1.7,0,ddos_attack,5
1.7,0,ddos_attack,6
1.7,0,ddos_attack,7
1.7,0,ddos_attack,8
1.7,0,ddos_attack,9
1.8,0,ddos_attack,0
1.8,0,ddos_attack,1
1.8,0,ddos_attack,2
1.8,0,ddos_attack,3
1.8,0,ddos_attack,4
1.8,0,ddos_attack,5
1.8,0,ddos_attack,6
1.8,0,ddos_attack,7
1.8,0,ddos_attack,8
1.8,0,ddos_attack,9
1.9,0,ddos_attack,0
1.9,0,ddos_attack,1
1.9,0,ddos_attack,2
1.9,0,ddos_attack,3
1.9,0,ddos_attack,4
1.9,0,ddos_attack,5
1.9,0,ddos_attack,6
1.9,0,ddos_attack,7
1.9,0,ddos_attack,8
1.9,0,ddos_attack,9
3,0,attack_started,ddos
8,0,attack_started,ddos
13,0,attack_started,ddos
18,0,attack_started,ddos
23,0,attack_started,ddos
28,0,attack_started,ddos
