timestamp,nodeId,eventType,suspiciousCount
1,0,anomaly_detected,1
1,2,anomaly_detected,1
1,4,anomaly_detected,1
1,6,anomaly_detected,1
1.5,0,anomaly_detected,3
1.5,2,anomaly_detected,3
1.5,4,anomaly_detected,3
1.5,6,anomaly_detected,3
2,0,anomaly_detected,6
2,2,anomaly_detected,6
2,4,anomaly_detected,6
2,6,anomaly_detected,6
2.5,0,anomaly_detected,9
2.5,2,anomaly_detected,9
2.5,4,anomaly_detected,9
2.5,6,anomaly_detected,9
3,0,anomaly_detected,13
3,2,anomaly_detected,13
3,4,anomaly_detected,13
3,6,anomaly_detected,13
3.5,0,anomaly_detected,16
3.5,2,anomaly_detected,16
3.5,4,anomaly_detected,16
3.5,6,anomaly_detected,16
4,0,anomaly_detected,20
4,2,anomaly_detected,20
4,4,anomaly_detected,20
4,6,anomaly_detected,20
4.5,0,anomaly_detected,23
4.5,2,anomaly_detected,23
4.5,4,anomaly_detected,23
4.5,6,anomaly_detected,23
5,MODEL_UPDATE,total_detections=104,true_pos=52,false_pos=5.2
5,0,anomaly_detected,27
5,2,anomaly_detected,27
5,4,anomaly_detected,27
5,6,anomaly_detected,27
5.5,0,anomaly_detected,30
5.5,2,anomaly_detected,30
5.5,4,anomaly_detected,30
5.5,6,anomaly_detected,30
6,0,anomaly_detected,34
6,2,anomaly_detected,34
6,4,anomaly_detected,34
6,6,anomaly_detected,34
6.5,0,anomaly_detected,37
6.5,2,anomaly_detected,37
6.5,4,anomaly_detected,37
6.5,6,anomaly_detected,37
7,0,anomaly_detected,41
7,2,anomaly_detected,41
7,4,anomaly_detected,41
7,6,anomaly_detected,41
7.5,0,anomaly_detected,44
7.5,2,anomaly_detected,44
7.5,4,anomaly_detected,44
7.5,6,anomaly_detected,44
8,0,anomaly_detected,48
8,2,anomaly_detected,48
8,4,anomaly_detected,48
8,6,anomaly_detected,48
8.5,0,anomaly_detected,51
8.5,2,anomaly_detected,51
8.5,4,anomaly_detected,51
8.5,6,anomaly_detected,51
9,0,anomaly_detected,55
9,2,anomaly_detected,55
9,4,anomaly_detected,55
9,6,anomaly_detected,55
9.5,0,anomaly_detected,58
9.5,2,anomaly_detected,58
9.5,4,anomaly_detected,58
9.5,6,anomaly_detected,58
10,0,anomaly_detected,62
10,2,anomaly_detected,62
10,4,anomaly_detected,62
10,6,anomaly_detected,62
10.5,0,anomaly_detected,65
10.5,2,anomaly_detected,65
10.5,4,anomaly_detected,65
10.5,6,anomaly_detected,65
11,0,anomaly_detected,69
11,2,anomaly_detected,69
11,4,anomaly_detected,69
11,6,anomaly_detected,69
11.5,0,anomaly_detected,72
11.5,2,anomaly_detected,72
11.5,4,anomaly_detected,72
11.5,6,anomaly_detected,72
12,0,anomaly_detected,76
12,2,anomaly_detected,76
12,4,anomaly_detected,76
12,6,anomaly_detected,76
12.5,0,anomaly_detected,79
12.5,2,anomaly_detected,79
12.5,4,anomaly_detected,79
12.5,6,anomaly_detected,79
13,MODEL_UPDATE,total_detections=328,true_pos=246,false_pos=8.2
13,0,anomaly_detected,83
13,2,anomaly_detected,83
13,4,anomaly_detected,83
13,6,anomaly_detected,83
13.5,0,anomaly_detected,86
13.5,2,anomaly_detected,86
13.5,4,anomaly_detected,86
13.5,6,anomaly_detected,86
14,0,anomaly_detected,90
14,2,anomaly_detected,90
14,4,anomaly_detected,90
14,6,anomaly_detected,90
14.5,0,anomaly_detected,93
14.5,2,anomaly_detected,93
14.5,4,anomaly_detected,93
14.5,6,anomaly_detected,93
15,0,anomaly_detected,97
15,2,anomaly_detected,97
15,4,anomaly_detected,97
15,6,anomaly_detected,97
15.5,0,anomaly_detected,100
15.5,2,anomaly_detected,100
15.5,4,anomaly_detected,100
15.5,6,anomaly_detected,100
16,0,anomaly_detected,104
16,2,anomaly_detected,104
16,4,anomaly_detected,104
16,6,anomaly_detected,104
16.5,0,anomaly_detected,107
16.5,2,anomaly_detected,107
16.5,4,anomaly_detected,107
16.5,6,anomaly_detected,107
17,0,anomaly_detected,111
17,2,anomaly_detected,111
17,4,anomaly_detected,111
17,6,anomaly_detected,111
17.5,0,anomaly_detected,114
17.5,2,anomaly_detected,114
17.5,4,anomaly_detected,114
17.5,6,anomaly_detected,114
18,0,anomaly_detected,118
18,2,anomaly_detected,118
18,4,anomaly_detected,118
18,6,anomaly_detected,118
18.5,0,anomaly_detected,121
18.5,2,anomaly_detected,121
18.5,4,anomaly_detected,121
18.5,6,anomaly_detected,121
19,0,anomaly_detected,125
19,2,anomaly_detected,125
19,4,anomaly_detected,125
19,6,anomaly_detected,125
19.5,0,anomaly_detected,128
19.5,2,anomaly_detected,128
19.5,4,anomaly_detected,128
19.5,6,anomaly_detected,128
20,0,anomaly_detected,132
20,2,anomaly_detected,132
20,4,anomaly_detected,132
20,6,anomaly_detected,132
20.5,0,anomaly_detected,135
20.5,2,anomaly_detected,135
20.5,4,anomaly_detected,135
20.5,6,anomaly_detected,135
21,MODEL_UPDATE,total_detections=552,true_pos=414,false_pos=13.8
21,0,anomaly_detected,139
21,2,anomaly_detected,139
21,4,anomaly_detected,139
21,6,anomaly_detected,139
21.5,0,anomaly_detected,142
21.5,2,anomaly_detected,142
21.5,4,anomaly_detected,142
21.5,6,anomaly_detected,142
22,0,anomaly_detected,146
22,2,anomaly_detected,146
22,4,anomaly_detected,146
22,6,anomaly_detected,146
22.5,0,anomaly_detected,149
22.5,2,anomaly_detected,149
22.5,4,anomaly_detected,149
22.5,6,anomaly_detected,149
23,0,anomaly_detected,153
23,2,anomaly_detected,153
23,4,anomaly_detected,153
23,6,anomaly_detected,153
23.5,0,anomaly_detected,156
23.5,2,anomaly_detected,156
23.5,4,anomaly_detected,156
23.5,6,anomaly_detected,156
24,0,anomaly_detected,160
24,2,anomaly_detected,160
24,4,anomaly_detected,160
24,6,anomaly_detected,160
24.5,0,anomaly_detected,163
24.5,2,anomaly_detected,163
24.5,4,anomaly_detected,163
24.5,6,anomaly_detected,163
25,0,anomaly_detected,167
25,2,anomaly_detected,167
25,4,anomaly_detected,167
25,6,anomaly_detected,167
25.5,0,anomaly_detected,170
25.5,2,anomaly_detected,170
25.5,4,anomaly_detected,170
25.5,6,anomaly_detected,170
26,0,anomaly_detected,174
26,2,anomaly_detected,174
26,4,anomaly_detected,174
26,6,anomaly_detected,174
26.5,0,anomaly_detected,177
26.5,2,anomaly_detected,177
26.5,4,anomaly_detected,177
26.5,6,anomaly_detected,177
27,0,anomaly_detected,181
27,2,anomaly_detected,181
27,4,anomaly_detected,181
27,6,anomaly_detected,181
27.5,0,anomaly_detected,184
27.5,2,anomaly_detected,184
27.5,4,anomaly_detected,184
27.5,6,anomaly_detected,184
28,0,anomaly_detected,188
28,2,anomaly_detected,188
28,4,anomaly_detected,188
28,6,anomaly_detected,188
28.5,0,anomaly_detected,191
28.5,2,anomaly_detected,191
28.5,4,anomaly_detected,191
28.5,6,anomaly_detected,191
29,MODEL_UPDATE,total_detections=776,true_pos=582,false_pos=19.4
29,0,anomaly_detected,195
29,2,anomaly_detected,195
29,4,anomaly_detected,195
29,6,anomaly_detected,195
29.5,0,anomaly_detected,198
29.5,2,anomaly_detected,198
29.5,4,anomaly_detected,198
29.5,6,anomaly_detected,198
