timestamp,fakeId,attackerId,posX,posY
3,2001,2,100,28
3,2002,2,110,38
3,2003,2,120,48
3,2004,2,130,58
3,2005,2,140,68
3.1,2001,2,101,28.6
3.1,2002,2,111,38.6
3.1,2003,2,121,48.6
3.1,2004,2,131,58.6
3.1,2005,2,141,68.6
3.2,2001,2,102,29.2
3.2,2002,2,112,39.2
3.2,2003,2,122,49.2
3.2,2004,2,132,59.2
3.2,2005,2,142,69.2
3.3,2001,2,103,29.8
3.3,2002,2,113,39.8
3.3,2003,2,123,49.8
3.3,2004,2,133,59.8
3.3,2005,2,143,69.8
3.4,2001,2,104,30.4
3.4,2002,2,114,40.4
3.4,2003,2,124,50.4
3.4,2004,2,134,60.4
3.4,2005,2,144,70.4
3.5,2001,2,105,31
3.5,2002,2,115,41
3.5,2003,2,125,51
3.5,2004,2,135,61
3.5,2005,2,145,71
3.6,2001,2,106,31.6
3.6,2002,2,116,41.6
3.6,2003,2,126,51.6
3.6,2004,2,136,61.6
3.6,2005,2,146,71.6
3.7,2001,2,107,32.2
3.7,2002,2,117,42.2
3.7,2003,2,127,52.2
3.7,2004,2,137,62.2
3.7,2005,2,147,72.2
3.8,2001,2,108,32.8
3.8,2002,2,118,42.8
3.8,2003,2,128,52.8
3.8,2004,2,138,62.8
3.8,2005,2,148,72.8
3.9,2001,2,109,33.4
3.9,2002,2,119,43.4
3.9,2003,2,129,53.4
3.9,2004,2,139,63.4
3.9,2005,2,149,73.4
4,2,attack_started,sybil
11,2,attack_started,sybil
18,2,attack_started,sybil
25,2,attack_started,sybil
