timestamp,reporterId,suspectId,attackType,confidence
1.1,0,0,high_packet_rate,0.9
1.2,0,0,high_packet_rate,0.9
1.3,0,0,high_packet_rate,0.9
1.4,0,0,high_packet_rate,0.9
1.5,0,0,high_packet_rate,0.9
1.5,0,0,high_packet_rate,0.9
1.6,0,0,high_packet_rate,0.9
1.7,0,0,high_packet_rate,0.9
1.7,0,0,high_packet_rate,0.9
1.8,0,0,high_packet_rate,0.9
1.9,0,0,high_packet_rate,0.9
1.9,0,0,high_packet_rate,0.9
2,SYSTEM,0,threat_confirmed,confidence=0.9
2,0,0,low_trust,1
2,0,0,high_packet_rate,0.9
2.1,0,0,high_packet_rate,0.9
2.1,0,0,hybrid_detection,0.95
2.1,25,25,high_packet_rate,0.9
2.1,0,0,high_packet_rate,0.9
2.1,25,25,high_packet_rate,0.9
2.2,0,0,high_packet_rate,0.9
2.2,25,25,high_packet_rate,0.9
2.3,0,0,high_packet_rate,0.9
2.3,0,0,hybrid_detection,0.95
2.3,25,25,high_packet_rate,0.9
2.3,0,0,high_packet_rate,0.9
2.3,25,25,high_packet_rate,0.9
2.4,0,0,high_packet_rate,0.9
2.4,25,25,high_packet_rate,0.9
2.5,25,25,high_packet_rate,0.9
2.5,25,25,high_packet_rate,0.9
3,0,0,low_trust,1
3,25,25,low_trust,1
4,SYSTEM,0,threat_confirmed,confidence=0.913043
4,SYSTEM,25,threat_confirmed,confidence=0.911111
4,0,0,low_trust,1
4,2,2,low_trust,1
4,25,25,low_trust,1
5,0,0,low_trust,1
5,2,2,low_trust,1
5,4,4,low_trust,1
5,6,6,low_trust,1
5,25,25,low_trust,1
6,SYSTEM,0,threat_confirmed,confidence=0.92
6,SYSTEM,25,threat_confirmed,confidence=0.927273
6,0,0,low_trust,1
6,2,2,low_trust,1
6,4,4,low_trust,1
6,6,6,low_trust,1
6,25,25,low_trust,1
7,0,0,low_trust,1
7,2,2,low_trust,1
7,4,4,low_trust,1
7,6,6,low_trust,1
7,25,25,low_trust,1
8,SYSTEM,0,threat_confirmed,confidence=0.925926
8,SYSTEM,2,threat_confirmed,confidence=1
8,SYSTEM,4,threat_confirmed,confidence=1
8,SYSTEM,6,threat_confirmed,confidence=1
8,SYSTEM,25,threat_confirmed,confidence=0.938462
8,0,0,low_trust,1
8,2,2,low_trust,1
8,4,4,low_trust,1
8,6,6,low_trust,1
8,25,25,low_trust,1
9,0,0,low_trust,1
9,2,2,low_trust,1
9,4,4,low_trust,1
9,6,6,low_trust,1
9,25,25,low_trust,1
10,SYSTEM,0,threat_confirmed,confidence=0.931034
10,SYSTEM,2,threat_confirmed,confidence=1
10,SYSTEM,4,threat_confirmed,confidence=1
10,SYSTEM,6,threat_confirmed,confidence=1
10,SYSTEM,25,threat_confirmed,confidence=0.946667
10,0,0,low_trust,1
10,2,2,low_trust,1
10,4,4,low_trust,1
10,6,6,low_trust,1
10,25,25,low_trust,1
11,0,0,low_trust,1
11,2,2,low_trust,1
11,4,4,low_trust,1
11,6,6,low_trust,1
11,25,25,low_trust,1
12,SYSTEM,0,threat_confirmed,confidence=0.935484
12,SYSTEM,2,threat_confirmed,confidence=1
12,SYSTEM,4,threat_confirmed,confidence=1
12,SYSTEM,6,threat_confirmed,confidence=1
12,SYSTEM,25,threat_confirmed,confidence=0.952941
12,0,0,low_trust,1
12,2,2,low_trust,1
12,4,4,low_trust,1
12,6,6,low_trust,1
12,25,25,low_trust,1
13,0,0,low_trust,1
13,2,2,low_trust,1
13,4,4,low_trust,1
13,6,6,low_trust,1
13,25,25,low_trust,1
14,SYSTEM,0,threat_confirmed,confidence=0.939394
14,SYSTEM,2,threat_confirmed,confidence=1
14,SYSTEM,4,threat_confirmed,confidence=1
14,SYSTEM,6,threat_confirmed,confidence=1
14,SYSTEM,25,threat_confirmed,confidence=0.957895
14,0,0,low_trust,1
14,2,2,low_trust,1
14,4,4,low_trust,1
14,6,6,low_trust,1
14,25,25,low_trust,1
15,0,0,low_trust,1
15,2,2,low_trust,1
15,4,4,low_trust,1
15,6,6,low_trust,1
15,25,25,low_trust,1
16,SYSTEM,0,threat_confirmed,confidence=0.942857
16,SYSTEM,2,threat_confirmed,confidence=1
16,SYSTEM,4,threat_confirmed,confidence=1
16,SYSTEM,6,threat_confirmed,confidence=1
16,SYSTEM,25,threat_confirmed,confidence=0.961905
16,0,0,low_trust,1
16,2,2,low_trust,1
16,4,4,low_trust,1
16,6,6,low_trust,1
16,25,25,low_trust,1
17,0,0,low_trust,1
17,2,2,low_trust,1
17,4,4,low_trust,1
17,6,6,low_trust,1
17,25,25,low_trust,1
18,SYSTEM,0,threat_confirmed,confidence=0.945946
18,SYSTEM,2,threat_confirmed,confidence=1
18,SYSTEM,4,threat_confirmed,confidence=1
18,SYSTEM,6,threat_confirmed,confidence=1
18,SYSTEM,25,threat_confirmed,confidence=0.965217
18,0,0,low_trust,1
18,2,2,low_trust,1
18,4,4,low_trust,1
18,6,6,low_trust,1
18,25,25,low_trust,1
19,0,0,low_trust,1
19,2,2,low_trust,1
19,4,4,low_trust,1
19,6,6,low_trust,1
19,25,25,low_trust,1
20,SYSTEM,0,threat_confirmed,confidence=0.948718
20,SYSTEM,2,threat_confirmed,confidence=1
20,SYSTEM,4,threat_confirmed,confidence=1
20,SYSTEM,6,threat_confirmed,confidence=1
20,SYSTEM,25,threat_confirmed,confidence=0.968
20,0,0,low_trust,1
20,2,2,low_trust,1
20,4,4,low_trust,1
20,6,6,low_trust,1
20,25,25,low_trust,1
21,0,0,low_trust,1
21,2,2,low_trust,1
21,4,4,low_trust,1
21,6,6,low_trust,1
21,25,25,low_trust,1
22,SYSTEM,0,threat_confirmed,confidence=0.95122
22,SYSTEM,2,threat_confirmed,confidence=1
22,SYSTEM,4,threat_confirmed,confidence=1
22,SYSTEM,6,threat_confirmed,confidence=1
22,SYSTEM,25,threat_confirmed,confidence=0.97037
22,0,0,low_trust,1
22,2,2,low_trust,1
22,4,4,low_trust,1
22,6,6,low_trust,1
22,25,25,low_trust,1
23,0,0,low_trust,1
23,2,2,low_trust,1
23,4,4,low_trust,1
23,6,6,low_trust,1
23,25,25,low_trust,1
24,SYSTEM,0,threat_confirmed,confidence=0.953488
24,SYSTEM,2,threat_confirmed,confidence=1
24,SYSTEM,4,threat_confirmed,confidence=1
24,SYSTEM,6,threat_confirmed,confidence=1
24,SYSTEM,25,threat_confirmed,confidence=0.972414
24,0,0,low_trust,1
24,2,2,low_trust,1
24,4,4,low_trust,1
24,6,6,low_trust,1
24,25,25,low_trust,1
25,0,0,low_trust,1
25,2,2,low_trust,1
25,4,4,low_trust,1
25,6,6,low_trust,1
25,25,25,low_trust,1
26,SYSTEM,0,threat_confirmed,confidence=0.955556
26,SYSTEM,2,threat_confirmed,confidence=1
26,SYSTEM,4,threat_confirmed,confidence=1
26,SYSTEM,6,threat_confirmed,confidence=1
26,SYSTEM,25,threat_confirmed,confidence=0.974194
26,0,0,low_trust,1
26,2,2,low_trust,1
26,4,4,low_trust,1
26,6,6,low_trust,1
26,25,25,low_trust,1
27,0,0,low_trust,1
27,2,2,low_trust,1
27,4,4,low_trust,1
27,6,6,low_trust,1
27,25,25,low_trust,1
28,SYSTEM,0,threat_confirmed,confidence=0.957447
28,SYSTEM,2,threat_confirmed,confidence=1
28,SYSTEM,4,threat_confirmed,confidence=1
28,SYSTEM,6,threat_confirmed,confidence=1
28,SYSTEM,25,threat_confirmed,confidence=0.975758
28,0,0,low_trust,1
28,2,2,low_trust,1
28,4,4,low_trust,1
28,6,6,low_trust,1
28,25,25,low_trust,1
29,0,0,low_trust,1
29,2,2,low_trust,1
29,4,4,low_trust,1
29,6,6,low_trust,1
29,25,25,low_trust,1
