timestamp,nodeId,attackType,detectionScore
1,0,ml_anomaly,1
1,2,ml_anomaly,1
1,4,ml_anomaly,1
1,6,ml_anomaly,1
1.1,0,rule_violation,high_frequency
1.2,0,rule_violation,high_frequency
1.3,0,rule_violation,high_frequency
1.4,0,rule_violation,high_frequency
1.5,0,ml_anomaly,3
1.5,2,ml_anomaly,3
1.5,4,ml_anomaly,3
1.5,6,ml_anomaly,3
1.5,0,rule_violation,high_frequency
1.6,0,rule_violation,high_frequency
1.7,0,rule_violation,high_frequency
1.8,0,rule_violation,high_frequency
1.9,0,rule_violation,high_frequency
2,0,ml_anomaly,6
2,2,ml_anomaly,6
2,4,ml_anomaly,6
2,6,ml_anomaly,6
2,0,rule_violation,high_frequency
2.1,0,rule_violation,high_frequency
2.1,25,rule_violation,high_frequency
2.2,0,rule_violation,high_frequency
2.2,25,rule_violation,high_frequency
2.3,0,rule_violation,high_frequency
2.3,25,rule_violation,high_frequency
2.4,0,rule_violation,high_frequency
2.4,25,rule_violation,high_frequency
2.5,0,ml_anomaly,9
2.5,2,ml_anomaly,9
2.5,4,ml_anomaly,9
2.5,6,ml_anomaly,9
2.5,0,rule_violation,high_frequency
2.5,25,rule_violation,high_frequency
2.6,0,rule_violation,high_frequency
2.7,0,rule_violation,high_frequency
2.8,0,rule_violation,high_frequency
2.9,0,rule_violation,high_frequency
3,0,ml_anomaly,13
3,2,ml_anomaly,13
3,4,ml_anomaly,13
3,6,ml_anomaly,13
3,0,rule_violation,high_frequency
3.1,0,rule_violation,high_frequency
3.2,0,rule_violation,high_frequency
3.3,0,rule_violation,high_frequency
3.4,0,rule_violation,high_frequency
3.5,0,ml_anomaly,16
3.5,2,ml_anomaly,16
3.5,4,ml_anomaly,16
3.5,6,ml_anomaly,16
3.5,0,rule_violation,high_frequency
3.6,0,rule_violation,high_frequency
3.7,0,rule_violation,high_frequency
3.8,0,rule_violation,high_frequency
3.9,0,rule_violation,high_frequency
4,0,ml_anomaly,20
4,2,ml_anomaly,20
4,4,ml_anomaly,20
4,6,ml_anomaly,20
4,0,rule_violation,high_frequency
4.1,0,rule_violation,high_frequency
4.2,0,rule_violation,high_frequency
4.3,0,rule_violation,high_frequency
4.4,0,rule_violation,high_frequency
4.5,0,ml_anomaly,23
4.5,2,ml_anomaly,23
4.5,4,ml_anomaly,23
4.5,6,ml_anomaly,23
4.5,0,rule_violation,high_frequency
4.6,0,rule_violation,high_frequency
4.7,0,rule_violation,high_frequency
4.8,0,rule_violation,high_frequency
4.9,0,rule_violation,high_frequency
5,0,ml_anomaly,27
5,2,ml_anomaly,27
5,4,ml_anomaly,27
5,6,ml_anomaly,27
5,0,rule_violation,high_frequency
5.1,0,rule_violation,high_frequency
5.2,0,rule_violation,high_frequency
5.3,0,rule_violation,high_frequency
5.4,0,rule_violation,high_frequency
5.5,0,ml_anomaly,30
5.5,2,ml_anomaly,30
5.5,4,ml_anomaly,30
5.5,6,ml_anomaly,30
5.5,0,rule_violation,high_frequency
5.6,0,rule_violation,high_frequency
5.7,0,rule_violation,high_frequency
5.8,0,rule_violation,high_frequency
5.9,0,rule_violation,high_frequency
6,0,ml_anomaly,34
6,2,ml_anomaly,34
6,4,ml_anomaly,34
6,6,ml_anomaly,34
6,0,rule_violation,high_frequency
6.1,0,rule_violation,high_frequency
6.2,0,rule_violation,high_frequency
6.3,0,rule_violation,high_frequency
6.4,0,rule_violation,high_frequency
6.5,0,ml_anomaly,37
6.5,2,ml_anomaly,37
6.5,4,ml_anomaly,37
6.5,6,ml_anomaly,37
6.5,0,rule_violation,high_frequency
6.6,0,rule_violation,high_frequency
6.7,0,rule_violation,high_frequency
6.8,0,rule_violation,high_frequency
6.9,0,rule_violation,high_frequency
7,0,ml_anomaly,41
7,2,ml_anomaly,41
7,4,ml_anomaly,41
7,6,ml_anomaly,41
7,0,rule_violation,high_frequency
7.1,0,rule_violation,high_frequency
7.2,0,rule_violation,high_frequency
7.3,0,rule_violation,high_frequency
7.4,0,rule_violation,high_frequency
7.5,0,ml_anomaly,44
7.5,2,ml_anomaly,44
7.5,4,ml_anomaly,44
7.5,6,ml_anomaly,44
7.5,0,rule_violation,high_frequency
7.6,0,rule_violation,high_frequency
7.7,0,rule_violation,high_frequency
7.8,0,rule_violation,high_frequency
7.9,0,rule_violation,high_frequency
8,0,ml_anomaly,48
8,2,ml_anomaly,48
8,4,ml_anomaly,48
8,6,ml_anomaly,48
8,0,rule_violation,high_frequency
8.1,0,rule_violation,high_frequency
8.2,0,rule_violation,high_frequency
8.3,0,rule_violation,high_frequency
8.4,0,rule_violation,high_frequency
8.5,0,ml_anomaly,51
8.5,2,ml_anomaly,51
8.5,4,ml_anomaly,51
8.5,6,ml_anomaly,51
8.5,0,rule_violation,high_frequency
8.6,0,rule_violation,high_frequency
8.7,0,rule_violation,high_frequency
8.8,0,rule_violation,high_frequency
8.9,0,rule_violation,high_frequency
9,0,ml_anomaly,55
9,2,ml_anomaly,55
9,4,ml_anomaly,55
9,6,ml_anomaly,55
9,0,rule_violation,high_frequency
9.1,0,rule_violation,high_frequency
9.2,0,rule_violation,high_frequency
9.3,0,rule_violation,high_frequency
9.4,0,rule_violation,high_frequency
9.5,0,ml_anomaly,58
9.5,2,ml_anomaly,58
9.5,4,ml_anomaly,58
9.5,6,ml_anomaly,58
9.5,0,rule_violation,high_frequency
9.6,0,rule_violation,high_frequency
9.7,0,rule_violation,high_frequency
9.8,0,rule_violation,high_frequency
9.9,0,rule_violation,high_frequency
10,0,ml_anomaly,62
10,2,ml_anomaly,62
10,4,ml_anomaly,62
10,6,ml_anomaly,62
10,0,rule_violation,high_frequency
10.1,0,rule_violation,high_frequency
10.2,0,rule_violation,high_frequency
10.3,0,rule_violation,high_frequency
10.4,0,rule_violation,high_frequency
10.5,0,ml_anomaly,65
10.5,2,ml_anomaly,65
10.5,4,ml_anomaly,65
10.5,6,ml_anomaly,65
10.5,0,rule_violation,high_frequency
10.6,0,rule_violation,high_frequency
10.7,0,rule_violation,high_frequency
10.8,0,rule_violation,high_frequency
10.9,0,rule_violation,high_frequency
11,0,ml_anomaly,69
11,2,ml_anomaly,69
11,4,ml_anomaly,69
11,6,ml_anomaly,69
11,0,rule_violation,high_frequency
11.1,0,rule_violation,high_frequency
11.2,0,rule_violation,high_frequency
11.3,0,rule_violation,high_frequency
11.4,0,rule_violation,high_frequency
11.5,0,ml_anomaly,72
11.5,2,ml_anomaly,72
11.5,4,ml_anomaly,72
11.5,6,ml_anomaly,72
11.5,0,rule_violation,high_frequency
11.6,0,rule_violation,high_frequency
11.7,0,rule_violation,high_frequency
11.8,0,rule_violation,high_frequency
11.9,0,rule_violation,high_frequency
12,0,ml_anomaly,76
12,2,ml_anomaly,76
12,4,ml_anomaly,76
12,6,ml_anomaly,76
12,0,rule_violation,high_frequency
12.1,0,rule_violation,high_frequency
12.2,0,rule_violation,high_frequency
12.3,0,rule_violation,high_frequency
12.4,0,rule_violation,high_frequency
12.5,0,ml_anomaly,79
12.5,2,ml_anomaly,79
12.5,4,ml_anomaly,79
12.5,6,ml_anomaly,79
12.5,0,rule_violation,high_frequency
12.6,0,rule_violation,high_frequency
12.7,0,rule_violation,high_frequency
12.8,0,rule_violation,high_frequency
12.9,0,rule_violation,high_frequency
13,0,ml_anomaly,83
13,2,ml_anomaly,83
13,4,ml_anomaly,83
13,6,ml_anomaly,83
13,0,rule_violation,high_frequency
13.1,0,rule_violation,high_frequency
13.2,0,rule_violation,high_frequency
13.3,0,rule_violation,high_frequency
13.4,0,rule_violation,high_frequency
13.5,0,ml_anomaly,86
13.5,2,ml_anomaly,86
13.5,4,ml_anomaly,86
13.5,6,ml_anomaly,86
13.5,0,rule_violation,high_frequency
13.6,0,rule_violation,high_frequency
13.7,0,rule_violation,high_frequency
13.8,0,rule_violation,high_frequency
13.9,0,rule_violation,high_frequency
14,0,ml_anomaly,90
14,2,ml_anomaly,90
14,4,ml_anomaly,90
14,6,ml_anomaly,90
14,0,rule_violation,high_frequency
14.1,0,rule_violation,high_frequency
14.2,0,rule_violation,high_frequency
14.3,0,rule_violation,high_frequency
14.4,0,rule_violation,high_frequency
14.5,0,ml_anomaly,93
14.5,2,ml_anomaly,93
14.5,4,ml_anomaly,93
14.5,6,ml_anomaly,93
14.5,0,rule_violation,high_frequency
14.6,0,rule_violation,high_frequency
14.7,0,rule_violation,high_frequency
14.8,0,rule_violation,high_frequency
14.9,0,rule_violation,high_frequency
15,0,ml_anomaly,97
15,2,ml_anomaly,97
15,4,ml_anomaly,97
15,6,ml_anomaly,97
15,0,rule_violation,high_frequency
15.1,0,rule_violation,high_frequency
15.2,0,rule_violation,high_frequency
15.3,0,rule_violation,high_frequency
15.4,0,rule_violation,high_frequency
15.5,0,ml_anomaly,100
15.5,2,ml_anomaly,100
15.5,4,ml_anomaly,100
15.5,6,ml_anomaly,100
15.5,0,rule_violation,high_frequency
15.6,0,rule_violation,high_frequency
15.7,0,rule_violation,high_frequency
15.8,0,rule_violation,high_frequency
15.9,0,rule_violation,high_frequency
16,0,ml_anomaly,104
16,2,ml_anomaly,104
16,4,ml_anomaly,104
16,6,ml_anomaly,104
16,0,rule_violation,high_frequency
16.1,0,rule_violation,high_frequency
16.2,0,rule_violation,high_frequency
16.3,0,rule_violation,high_frequency
16.4,0,rule_violation,high_frequency
16.5,0,ml_anomaly,107
16.5,2,ml_anomaly,107
16.5,4,ml_anomaly,107
16.5,6,ml_anomaly,107
16.5,0,rule_violation,high_frequency
16.6,0,rule_violation,high_frequency
16.7,0,rule_violation,high_frequency
16.8,0,rule_violation,high_frequency
16.9,0,rule_violation,high_frequency
17,0,ml_anomaly,111
17,2,ml_anomaly,111
17,4,ml_anomaly,111
17,6,ml_anomaly,111
17,0,rule_violation,high_frequency
17.1,0,rule_violation,high_frequency
17.2,0,rule_violation,high_frequency
17.3,0,rule_violation,high_frequency
17.4,0,rule_violation,high_frequency
17.5,0,ml_anomaly,114
17.5,2,ml_anomaly,114
17.5,4,ml_anomaly,114
17.5,6,ml_anomaly,114
17.5,0,rule_violation,high_frequency
17.6,0,rule_violation,high_frequency
17.7,0,rule_violation,high_frequency
17.8,0,rule_violation,high_frequency
17.9,0,rule_violation,high_frequency
18,0,ml_anomaly,118
18,2,ml_anomaly,118
18,4,ml_anomaly,118
18,6,ml_anomaly,118
18,0,rule_violation,high_frequency
18.1,0,rule_violation,high_frequency
18.2,0,rule_violation,high_frequency
18.3,0,rule_violation,high_frequency
18.4,0,rule_violation,high_frequency
18.5,0,ml_anomaly,121
18.5,2,ml_anomaly,121
18.5,4,ml_anomaly,121
18.5,6,ml_anomaly,121
18.5,0,rule_violation,high_frequency
18.6,0,rule_violation,high_frequency
18.7,0,rule_violation,high_frequency
18.8,0,rule_violation,high_frequency
18.9,0,rule_violation,high_frequency
19,0,ml_anomaly,125
19,2,ml_anomaly,125
19,4,ml_anomaly,125
19,6,ml_anomaly,125
19,0,rule_violation,high_frequency
19.1,0,rule_violation,high_frequency
19.2,0,rule_violation,high_frequency
19.3,0,rule_violation,high_frequency
19.4,0,rule_violation,high_frequency
19.5,0,ml_anomaly,128
19.5,2,ml_anomaly,128
19.5,4,ml_anomaly,128
19.5,6,ml_anomaly,128
19.5,0,rule_violation,high_frequency
19.6,0,rule_violation,high_frequency
19.7,0,rule_violation,high_frequency
19.8,0,rule_violation,high_frequency
