nodeId,posX,posY,speed,heading,timestamp,interArrivalTime,avgPayloadSize
0,8,6,10,0.643501,1,0,200
1,39,7,11.4018,0.661043,1,0,200
2,70,6,11.6619,0.54042,1,0,200
3,98,7,10.6301,0.71883,1,0,200
4,129,6,10.8167,0.588003,1,0,200
5,160,7,12.2066,0.610726,1,0,200
6,188,6,10,0.643501,1,0,200
7,219,7,11.4018,0.661043,1,0,200
8,250,6,11.6619,0.54042,1,0,200
9,278,7,10.6301,0.71883,1,0,200
10,9,36,10.8167,0.588003,1,0,200
11,40,37,12.2066,0.610726,1,0,200
12,68,36,10,0.643501,1,0,200
13,99,37,11.4018,0.661043,1,0,200
14,130,36,11.6619,0.54042,1,0,200
15,158,37,10.6301,0.71883,1,0,200
16,189,36,10.8167,0.588003,1,0,200
17,220,37,12.2066,0.610726,1,0,200
18,248,36,10,0.643501,1,0,200
19,279,37,11.4018,0.661043,1,0,200
20,10,66,11.6619,0.54042,1,0,200
21,38,67,10.6301,0.71883,1,0,200
22,69,66,10.8167,0.588003,1,0,200
23,100,67,12.2066,0.610726,1,0,200
24,128,66,10,0.643501,1,0,200
25,159,67,11.4018,0.661043,1,0,200
26,190,66,11.6619,0.54042,1,0,200
27,218,67,10.6301,0.71883,1,0,200
28,249,66,10.8167,0.588003,1,0,200
29,280,67,12.2066,0.610726,1,0,200
30,8,96,10,0.643501,1,0,200
31,39,97,11.4018,0.661043,1,0,200
32,70,96,11.6619,0.54042,1,0,200
33,98,97,10.6301,0.71883,1,0,200
34,129,96,10.8167,0.588003,1,0,200
35,160,97,12.2066,0.610726,1,0,200
36,188,96,10,0.643501,1,0,200
37,219,97,11.4018,0.661043,1,0,200
38,250,96,11.6619,0.54042,1,0,200
39,278,97,10.6301,0.71883,1,0,200
40,9,126,10.8167,0.588003,1,0,200
41,40,127,12.2066,0.610726,1,0,200
42,68,126,10,0.643501,1,0,200
43,99,127,11.4018,0.661043,1,0,200
44,130,126,11.6619,0.54042,1,0,200
45,158,127,10.6301,0.71883,1,0,200
46,189,126,10.8167,0.588003,1,0,200
47,220,127,12.2066,0.610726,1,0,200
48,248,126,10,0.643501,1,0,200
49,279,127,11.4018,0.661043,1,0,200
50,10,156,11.6619,0.54042,1,0,200
51,38,157,10.6301,0.71883,1,0,200
52,69,156,10.8167,0.588003,1,0,200
53,100,157,12.2066,0.610726,1,0,200
54,128,156,10,0.643501,1,0,200
55,159,157,11.4018,0.661043,1,0,200
56,190,156,11.6619,0.54042,1,0,200
57,218,157,10.6301,0.71883,1,0,200
58,249,156,10.8167,0.588003,1,0,200
59,280,157,12.2066,0.610726,1,0,200
60,8,186,10,0.643501,1,0,200
61,39,187,11.4018,0.661043,1,0,200
62,70,186,11.6619,0.54042,1,0,200
63,98,187,10.6301,0.71883,1,0,200
64,129,186,10.8167,0.588003,1,0,200
65,160,187,12.2066,0.610726,1,0,200
66,188,186,10,0.643501,1,0,200
67,219,187,11.4018,0.661043,1,0,200
68,250,186,11.6619,0.54042,1,0,200
69,278,187,10.6301,0.71883,1,0,200
70,9,216,10.8167,0.588003,1,0,200
71,40,217,12.2066,0.610726,1,0,200
72,68,216,10,0.643501,1,0,200
73,99,217,11.4018,0.661043,1,0,200
74,130,216,11.6619,0.54042,1,0,200
75,158,217,10.6301,0.71883,1,0,200
76,189,216,10.8167,0.588003,1,0,200
77,220,217,12.2066,0.610726,1,0,200
78,248,216,10,0.643501,1,0,200
79,279,217,11.4018,0.661043,1,0,200
80,10,246,11.6619,0.54042,1,0,200
81,38,247,10.6301,0.71883,1,0,200
82,69,246,10.8167,0.588003,1,0,200
83,100,247,12.2066,0.610726,1,0,200
84,128,246,10,0.643501,1,0,200
85,159,247,11.4018,0.661043,1,0,200
86,190,246,11.6619,0.54042,1,0,200
87,218,247,10.6301,0.71883,1,0,200
88,249,246,10.8167,0.588003,1,0,200
89,280,247,12.2066,0.610726,1,0,200
90,8,276,10,0.643501,1,0,200
91,39,277,11.4018,0.661043,1,0,200
92,70,276,11.6619,0.54042,1,0,200
93,98,277,10.6301,0.71883,1,0,200
94,129,276,10.8167,0.588003,1,0,200
95,160,277,12.2066,0.610726,1,0,200
96,188,276,10,0.643501,1,0,200
97,219,277,11.4018,0.661043,1,0,200
98,250,276,11.6619,0.54042,1,0,200
99,278,277,10.6301,0.71883,1,0,200
100,9,306,10.8167,0.588003,1,0,200
101,40,307,12.2066,0.610726,1,0,200
102,68,306,10,0.643501,1,0,200
103,99,307,11.4018,0.661043,1,0,200
104,130,306,11.6619,0.54042,1,0,200
105,158,307,10.6301,0.71883,1,0,200
106,189,306,10.8167,0.588003,1,0,200
107,220,307,12.2066,0.610726,1,0,200
108,248,306,10,0.643501,1,0,200
109,279,307,11.4018,0.661043,1,0,200
110,10,336,11.6619,0.54042,1,0,200
111,38,337,10.6301,0.71883,1,0,200
112,69,336,10.8167,0.588003,1,0,200
113,100,337,12.2066,0.610726,1,0,200
114,128,336,10,0.643501,1,0,200
115,159,337,11.4018,0.661043,1,0,200
116,190,336,11.6619,0.54042,1,0,200
117,218,337,10.6301,0.71883,1,0,200
118,249,336,10.8167,0.588003,1,0,200
119,280,337,12.2066,0.610726,1,0,200
120,8,366,10,0.643501,1,0,200
121,39,367,11.4018,0.661043,1,0,200
122,70,366,11.6619,0.54042,1,0,200
123,98,367,10.6301,0.71883,1,0,200
124,129,366,10.8167,0.588003,1,0,200
125,160,367,12.2066,0.610726,1,0,200
126,188,366,10,0.643501,1,0,200
127,219,367,11.4018,0.661043,1,0,200
128,250,366,11.6619,0.54042,1,0,200
129,278,367,10.6301,0.71883,1,0,200
130,9,396,10.8167,0.588003,1,0,200
131,40,397,12.2066,0.610726,1,0,200
