timestamp,attackerId,fakePosX,fakePosY
1,6,688,506
1.1,6,688.8,506.6
1.2,6,689.6,507.2
1.3,6,690.4,507.8
1.4,6,691.2,508.4
1.5,6,692,509
1.6,6,692.8,509.6
1.7,6,693.6,510.2
1.8,6,694.4,510.8
1.9,6,695.2,511.4
2,6,696,512
2.1,6,696.8,512.6
2.2,6,697.6,513.2
2.3,6,698.4,513.8
2.4,6,699.2,514.4
2.5,6,700,515
2.6,6,700.8,515.6
2.7,6,701.6,516.2
2.8,6,702.4,516.8
2.9,6,703.2,517.4
3,6,704,518
3.1,6,704.8,518.6
3.2,6,705.6,519.2
3.3,6,706.4,519.8
3.4,6,707.2,520.4
3.5,6,708,521
3.6,6,708.8,521.6
3.7,6,709.6,522.2
3.8,6,710.4,522.8
3.9,6,711.2,523.4
4,6,712,524
4.1,6,712.8,524.6
4.2,6,713.6,525.2
4.3,6,714.4,525.8
4.4,6,715.2,526.4
4.5,6,716,527
4.6,6,716.8,527.6
4.7,6,717.6,528.2
4.8,6,718.4,528.8
4.9,6,719.2,529.4
5,6,720,530
5.1,6,720.8,530.6
5.2,6,721.6,531.2
5.3,6,722.4,531.8
5.4,6,723.2,532.4
5.5,6,724,533
5.6,6,724.8,533.6
5.7,6,725.6,534.2
5.8,6,726.4,534.8
5.9,6,727.2,535.4
6,6,728,536
6.1,6,728.8,536.6
6.2,6,729.6,537.2
6.3,6,730.4,537.8
6.4,6,731.2,538.4
6.5,6,732,539
6.6,6,732.8,539.6
6.7,6,733.6,540.2
6.8,6,734.4,540.8
6.9,6,735.2,541.4
7,6,736,542
7.1,6,736.8,542.6
7.2,6,737.6,543.2
7.3,6,738.4,543.8
7.4,6,739.2,544.4
7.5,6,740,545
7.6,6,740.8,545.6
7.7,6,741.6,546.2
7.8,6,742.4,546.8
7.9,6,743.2,547.4
8,6,attack_started,falsification
8,6,744,548
8.1,6,744.8,548.6
8.2,6,745.6,549.2
8.3,6,746.4,549.8
8.4,6,747.2,550.4
8.5,6,748,551
8.6,6,748.8,551.6
8.7,6,749.6,552.2
8.8,6,750.4,552.8
8.9,6,751.2,553.4
9,6,752,554
9.1,6,752.8,554.6
9.2,6,753.6,555.2
9.3,6,754.4,555.8
9.4,6,755.2,556.4
9.5,6,756,557
9.6,6,756.8,557.6
9.7,6,757.6,558.2
9.8,6,758.4,558.8
9.9,6,759.2,559.4
10,6,760,560
10.1,6,760.8,560.6
10.2,6,761.6,561.2
10.3,6,762.4,561.8
10.4,6,763.2,562.4
10.5,6,764,563
10.6,6,764.8,563.6
10.7,6,765.6,564.2
10.8,6,766.4,564.8
10.9,6,767.2,565.4
11,6,768,566
11.1,6,768.8,566.6
11.2,6,769.6,567.2
11.3,6,770.4,567.8
11.4,6,771.2,568.4
11.5,6,772,569
11.6,6,772.8,569.6
11.7,6,773.6,570.2
11.8,6,774.4,570.8
11.9,6,775.2,571.4
12,6,776,572
12.1,6,776.8,572.6
12.2,6,777.6,573.2
12.3,6,778.4,573.8
12.4,6,779.2,574.4
12.5,6,780,575
12.6,6,780.8,575.6
12.7,6,781.6,576.2
12.8,6,782.4,576.8
12.9,6,783.2,577.4
13,6,784,578
13.1,6,784.8,578.6
13.2,6,785.6,579.2
13.3,6,786.4,579.8
13.4,6,787.2,580.4
13.5,6,788,581
13.6,6,788.8,581.6
13.7,6,789.6,582.2
13.8,6,790.4,582.8
13.9,6,791.2,583.4
14,6,792,584
14.1,6,792.8,584.6
14.2,6,793.6,585.2
14.3,6,794.4,585.8
14.4,6,795.2,586.4
14.5,6,796,587
14.6,6,796.8,587.6
14.7,6,797.6,588.2
14.8,6,798.4,588.8
14.9,6,799.2,589.4
15,6,800,590
15.1,6,800.8,590.6
15.2,6,801.6,591.2
15.3,6,802.4,591.8
15.4,6,803.2,592.4
15.5,6,804,593
15.6,6,804.8,593.6
15.7,6,805.6,594.2
15.8,6,806.4,594.8
15.9,6,807.2,595.4
16,6,808,596
16.1,6,808.8,596.6
16.2,6,809.6,597.2
16.3,6,810.4,597.8
16.4,6,811.2,598.4
16.5,6,812,599
16.6,6,812.8,599.6
16.7,6,813.6,600.2
16.8,6,814.4,600.8
16.9,6,815.2,601.4
17,6,816,602
17.1,6,816.8,602.6
17.2,6,817.6,603.2
17.3,6,818.4,603.8
17.4,6,819.2,604.4
17.5,6,820,605
17.6,6,820.8,605.6
17.7,6,821.6,606.2
17.8,6,822.4,606.8
17.9,6,823.2,607.4
18,6,824,608
18.1,6,824.8,608.6
18.2,6,825.6,609.2
