timestamp,fakeId,attackerId,posX,posY
1,2001,2,80,16
1,2002,2,90,26
1,2003,2,100,36
1,2004,2,110,46
1,2005,2,120,56
1.1,2001,2,81,16.6
1.1,2002,2,91,26.6
1.1,2003,2,101,36.6
1.1,2004,2,111,46.6
1.1,2005,2,121,56.6
1.2,2001,2,82,17.2
1.2,2002,2,92,27.2
1.2,2003,2,102,37.2
1.2,2004,2,112,47.2
1.2,2005,2,122,57.2
1.3,2001,2,83,17.8
1.3,2002,2,93,27.8
1.3,2003,2,103,37.8
1.3,2004,2,113,47.8
1.3,2005,2,123,57.8
1.4,2001,2,84,18.4
1.4,2002,2,94,28.4
1.4,2003,2,104,38.4
1.4,2004,2,114,48.4
1.4,2005,2,124,58.4
1.5,2001,2,85,19
1.5,2002,2,95,29
1.5,2003,2,105,39
1.5,2004,2,115,49
1.5,2005,2,125,59
1.6,2001,2,86,19.6
1.6,2002,2,96,29.6
1.6,2003,2,106,39.6
1.6,2004,2,116,49.6
1.6,2005,2,126,59.6
1.7,2001,2,87,20.2
1.7,2002,2,97,30.2
1.7,2003,2,107,40.2
1.7,2004,2,117,50.2
1.7,2005,2,127,60.2
1.8,2001,2,88,20.8
1.8,2002,2,98,30.8
1.8,2003,2,108,40.8
1.8,2004,2,118,50.8
1.8,2005,2,128,60.8
1.9,2001,2,89,21.4
1.9,2002,2,99,31.4
1.9,2003,2,109,41.4
1.9,2004,2,119,51.4
1.9,2005,2,129,61.4
2,2001,2,90,22
2,2002,2,100,32
2,2003,2,110,42
2,2004,2,120,52
2,2005,2,130,62
2.1,2001,2,91,22.6
2.1,2002,2,101,32.6
2.1,2003,2,111,42.6
2.1,2004,2,121,52.6
2.1,2005,2,131,62.6
2.2,2001,2,92,23.2
2.2,2002,2,102,33.2
2.2,2003,2,112,43.2
2.2,2004,2,122,53.2
2.2,2005,2,132,63.2
2.3,2001,2,93,23.8
2.3,2002,2,103,33.8
2.3,2003,2,113,43.8
2.3,2004,2,123,53.8
2.3,2005,2,133,63.8
2.4,2001,2,94,24.4
2.4,2002,2,104,34.4
2.4,2003,2,114,44.4
2.4,2004,2,124,54.4
2.4,2005,2,134,64.4
2.5,2001,2,95,25
2.5,2002,2,105,35
2.5,2003,2,115,45
2.5,2004,2,125,55
2.5,2005,2,135,65
2.6,2001,2,96,25.6
2.6,2002,2,106,35.6
2.6,2003,2,116,45.6
2.6,2004,2,126,55.6
2.6,2005,2,136,65.6
2.7,2001,2,97,26.2
2.7,2002,2,107,36.2
2.7,2003,2,117,46.2
2.7,2004,2,127,56.2
2.7,2005,2,137,66.2
2.8,2001,2,98,26.8
2.8,2002,2,108,36.8
2.8,2003,2,118,46.8
2.8,2004,2,128,56.8
2.8,2005,2,138,66.8
2.9,2001,2,99,27.4
2.9,2002,2,109,37.4
2.9,2003,2,119,47.4
2.9,2004,2,129,57.4
