timestamp,nodeId,neighborCount,minDistance
1,0,4,105.219
1,1,2,1.44003
1,2,7,36.881
1,3,8,25.2548
1,4,5,107.52
1,5,7,93.5823
1,6,5,156.74
1,7,8,132.288
1,8,2,51.0006
1,9,2,132.134
1,10,3,1.36682
1,11,2,1.35695
1,12,4,18.2263
1,13,4,48.5988
1,14,4,118.439
1,15,5,77.6631
1,16,4,19.0349
1,17,5,21.4699
1,18,3,93.392
1,19,1,0.310161
1,20,2,1.44003
1,21,4,3.38492
1,22,2,3.32728
1,23,8,42.0313
1,24,1,188.198
1,25,2,25.8931
1,26,4,145.109
1,27,4,4.10844
1,28,3,2.78442
1,29,4,65.6021
1,30,4,184.811
1,31,6,77.6631
1,32,5,129.986
1,33,2,25.8931
1,34,2,31.6699
1,35,5,176.588
1,36,4,3.38492
1,37,4,12.8411
1,38,4,4.10844
1,39,8,36.477
1,40,0,318.522
1,41,3,9.57056
1,42,5,30.1514
1,43,2,31.6699
1,44,3,1.35473
1,45,0,410.079
1,46,6,30.1514
1,47,6,85.8459
1,48,1,225.878
1,49,4,3.23543
1,50,7,122.117
1,51,6,1.69532
1,52,4,18.1365
1,53,5,21.4699
1,54,3,3.32555
1,55,1,86.3256
1,56,1,4.09766
1,57,3,23.2549
1,58,6,93.5823
1,59,3,1.36682
1,60,2,3.32728
1,61,5,100.935
1,62,1,4.09766
1,63,4,18.2263
1,64,2,4.17164
1,65,4,18.1365
1,66,0,480.876
1,67,4,12.8411
1,68,8,49.0729
1,69,6,1.69532
1,70,5,2.77418
1,71,4,28.322
1,72,4,19.0349
1,73,3,2.46173
1,74,7,43.2732
1,75,10,36.477
1,76,0,352.78
1,77,6,132.788
1,78,4,28.322
1,79,10,19.18
1,80,8,1.73072
1,81,1,0.310161
1,82,2,224.324
1,83,7,85.8459
1,84,5,2.77418
1,85,3,93.392
1,86,4,125.812
1,87,5,89.1215
1,88,6,1.44101
1,89,5,61.1801
1,90,1,224.008
1,91,8,98.6634
1,92,4,48.9402
1,93,4,34.6752
1,94,0,352.78
1,95,3,1.35473
1,96,5,43.6289
1,97,8,1.73072
1,98,2,5.49401
1,99,2,191.504
1,100,1,224.008
1,101,0,271.022
1,102,5,108.179
1,103,4,175.153
1,104,3,2.46173
1,105,4,3.23543
1,106,2,4.17164
1,107,2,210.651
1,108,4,34.6752
1,109,5,54.5065
1,110,2,1.35695
1,111,4,99.0557
1,112,8,3.98935
1,113,3,23.2549
1,114,3,132.788
1,115,5,54.5065
1,116,1,86.3256
1,117,10,45.5991
1,118,2,5.49401
1,119,3,172.755
1,120,3,6.12719
1,121,3,151.519
1,122,8,42.0313
1,123,5,36.881
1,124,8,3.98935
1,125,6,172.658
1,126,6,1.44101
1,127,5,50.7467
1,128,7,147.262
1,129,3,72.5593
1,130,5,43.6289
1,131,6,1.79805
1.2,0,4,105.219
1.2,1,2,1.44003
1.2,2,7,36.881
1.2,3,8,25.2548
1.2,4,5,107.52
1.2,5,7,93.5823
1.2,6,5,156.74
1.2,7,8,132.288
1.2,8,2,51.0006
1.2,9,2,132.134
1.2,10,3,1.36682
1.2,11,2,1.35695
1.2,12,4,18.2263
1.2,13,4,48.5988
1.2,14,4,118.439
1.2,15,5,77.6631
1.2,16,4,19.0349
1.2,17,5,21.4699
1.2,18,3,93.392
1.2,19,1,0.310161
1.2,20,2,1.44003
1.2,21,4,3.38492
1.2,22,2,3.32728
1.2,23,8,42.0313
1.2,24,1,188.198
1.2,25,2,25.8931
1.2,26,4,145.109
1.2,27,4,4.10844
1.2,28,3,2.78442
1.2,29,4,65.6021
1.2,30,4,184.811
1.2,31,6,77.6631
1.2,32,5,129.986
1.2,33,2,25.8931
1.2,34,2,31.6699
1.2,35,5,176.588
1.2,36,4,3.38492
1.2,37,4,12.8411
1.2,38,4,4.10844
1.2,39,8,36.477
1.2,40,0,318.522
1.2,41,3,9.57056
1.2,42,5,30.1514
1.2,43,2,31.6699
1.2,44,3,1.35473
1.2,45,0,410.079
1.2,46,6,30.1514
1.2,47,6,85.8459
1.2,48,1,225.878
1.2,49,4,3.23543
1.2,50,7,122.117
1.2,51,6,1.69532
1.2,52,4,18.1365
1.2,53,5,21.4699
1.2,54,3,3.32555
1.2,55,1,86.3256
1.2,56,1,4.09766
1.2,57,3,23.2549
1.2,58,6,93.5823
1.2,59,3,1.36682
1.2,60,2,3.32728
1.2,61,5,100.935
1.2,62,1,4.09766
1.2,63,4,18.2263
1.2,64,2,4.17164
1.2,65,4,18.1365
1.2,66,0,480.876
1.2,67,4,12.8411
1.2,68,8,49.0729
1.2,69,6,1.69532
1.2,70,5,2.77418
1.2,71,4,28.322
1.2,72,4,19.0349
1.2,73,3,2.46173
1.2,74,7,43.2732
1.2,75,10,36.477
1.2,76,0,352.78
1.2,77,6,132.788
1.2,78,4,28.322
1.2,79,10,19.18
1.2,80,8,1.73072
1.2,81,1,0.310161
1.2,82,2,224.324
1.2,83,7,85.8459
1.2,84,5,2.77418
1.2,85,3,93.392
1.2,86,4,125.812
1.2,87,5,89.1215
1.2,88,6,1.44101
1.2,89,5,61.1801
1.2,90,1,224.008
1.2,91,8,98.6634
1.2,92,4,48.9402
1.2,93,4,34.6752
1.2,94,0,352.78
1.2,95,3,1.35473
1.2,96,5,43.6289
1.2,97,8,1.73072
1.2,98,2,5.49401
1.2,99,2,191.504
1.2,100,1,224.008
1.2,101,0,271.022
1.2,102,5,108.179
1.2,103,4,175.153
1.2,104,3,2.46173
1.2,105,4,3.23543
1.2,106,2,4.17164
1.2,107,2,210.651
1.2,108,4,34.6752
1.2,109,5,54.5065
1.2,110,2,1.35695
1.2,111,4,99.0557
1.2,112,8,3.98935
1.2,113,3,23.2549
1.2,114,3,132.788
1.2,115,5,54.5065
1.2,116,1,86.3256
1.2,117,10,45.5991
1.2,118,2,5.49401
1.2,119,3,172.755
1.2,120,3,6.12719
1.2,121,3,151.519
1.2,122,8,42.0313
1.2,123,5,36.881
1.2,124,8,3.98935
1.2,125,6,172.658
1.2,126,6,1.44101
1.2,127,5,50.7467
1.2,128,7,147.262
1.2,129,3,72.5593
1.2,130,5,43.6289
1.2,131,6,1.79805
1.4,0,4,105.219
1.4,1,2,1.44003
1.4,2,7,36.881
1.4,3,8,25.2548
1.4,4,5,107.52
1.4,5,7,93.5823
1.4,6,5,156.74
1.4,7,8,132.288
1.4,8,2,51.0006
1.4,9,2,132.134
1.4,10,3,1.36682
1.4,11,2,1.35695
1.4,12,4,18.2263
1.4,13,4,48.5988
1.4,14,4,118.439
1.4,15,5,77.6631
1.4,16,4,19.0349
1.4,17,5,21.4699
1.4,18,3,93.392
1.4,19,1,0.310161
1.4,20,2,1.44003
1.4,21,4,3.38492
1.4,22,2,3.32728
1.4,23,8,42.0313
1.4,24,1,188.198
1.4,25,2,25.8931
1.4,26,4,145.109
1.4,27,4,4.10844
1.4,28,3,2.78442
1.4,29,4,65.6021
1.4,30,4,184.811
1.4,31,6,77.6631
1.4,32,5,129.986
1.4,33,2,25.8931
1.4,34,2,31.6699
1.4,35,5,176.588
1.4,36,4,3.38492
1.4,37,4,12.8411
1.4,38,4,4.10844
1.4,39,8,36.477
1.4,40,0,318.522
1.4,41,3,9.57056
1.4,42,5,30.1514
1.4,43,2,31.6699
1.4,44,3,1.35473
1.4,45,0,410.079
1.4,46,6,30.1514
1.4,47,6,85.8459
1.4,48,1,225.878
1.4,49,4,3.23543
1.4,50,7,122.117
1.4,51,6,1.69532
1.4,52,4,18.1365
1.4,53,5,21.4699
1.4,54,3,3.32555
1.4,55,1,86.3256
1.4,56,1,4.09766
1.4,57,3,23.2549
1.4,58,6,93.5823
1.4,59,3,1.36682
1.4,60,2,3.32728
1.4,61,5,100.935
1.4,62,1,4.09766
1.4,63,4,18.2263
1.4,64,2,4.17164
1.4,65,4,18.1365
1.4,66,0,480.876
1.4,67,4,12.8411
1.4,68,8,49.0729
1.4,69,6,1.69532
1.4,70,5,2.77418
1.4,71,4,28.322
1.4,72,4,19.0349
1.4,73,3,2.46173
1.4,74,7,43.2732
1.4,75,10,36.477
1.4,76,0,352.78
1.4,77,6,132.788
1.4,78,4,28.322
1.4,79,10,19.18
1.4,80,8,1.73072
1.4,81,1,0.310161
1.4,82,2,224.324
1.4,83,7,85.8459
1.4,84,5,2.77418
1.4,85,3,93.392
1.4,86,4,125.812
1.4,87,5,89.1215
1.4,88,6,1.44101
1.4,89,5,61.1801
1.4,90,1,224.008
1.4,91,8,98.6634
1.4,92,4,48.9402
1.4,93,4,34.6752
1.4,94,0,352.78
1.4,95,3,1.35473
1.4,96,5,43.6289
1.4,97,8,1.73072
1.4,98,2,5.49401
1.4,99,2,191.504
1.4,100,1,224.008
1.4,101,0,271.022
1.4,102,5,108.179
1.4,103,4,175.153
1.4,104,3,2.46173
1.4,105,4,3.23543
1.4,106,2,4.17164
1.4,107,2,210.651
1.4,108,4,34.6752
1.4,109,5,54.5065
1.4,110,2,1.35695
1.4,111,4,99.0557
1.4,112,8,3.98935
1.4,113,3,23.2549
1.4,114,3,132.788
1.4,115,5,54.5065
1.4,116,1,86.3256
1.4,117,10,45.5991
1.4,118,2,5.49401
1.4,119,3,172.755
1.4,120,3,6.12719
1.4,121,3,151.519
1.4,122,8,42.0313
1.4,123,5,36.881
1.4,124,8,3.98935
1.4,125,6,172.658
1.4,126,6,1.44101
1.4,127,5,50.7467
1.4,128,7,147.262
1.4,129,3,72.5593
1.4,130,5,43.6289
1.4,131,6,1.79805
1.6,0,4,105.219
1.6,1,2,1.44003
1.6,2,7,36.881
1.6,3,8,25.2548
1.6,4,5,107.52
1.6,5,7,93.5823
1.6,6,5,156.74
1.6,7,8,132.288
1.6,8,2,51.0006
1.6,9,2,132.134
1.6,10,3,1.36682
1.6,11,2,1.35695
1.6,12,4,18.2263
1.6,13,4,48.5988
1.6,14,4,118.439
1.6,15,5,77.6631
1.6,16,4,19.0349
