t0,t1,total_msgs,unique_senders,mean_speed,var_speed,mean_neighbors,mean_rssi,scenario,density
1.0,6.0,2499,50,25.0,0.0,49.0,,highway,density-50
6.0,11.0,2500,50,25.0,0.0,49.0,,highway,density-50
11.0,16.0,2500,50,25.0,0.0,49.0,,highway,density-50
16.0,21.0,2500,50,25.0,0.0,49.0,,highway,density-50
21.0,26.0,2500,50,25.0,0.0,49.0,,highway,density-50
26.0,31.0,2500,50,25.0,0.0,49.0,,highway,density-50
31.0,36.0,2500,50,25.0,0.0,49.0,,highway,density-50
36.0,41.0,2500,50,25.0,0.0,49.0,,highway,density-50
41.0,46.0,2500,50,25.0,0.0,49.0,,highway,density-50
46.0,51.0,2500,50,25.0,0.0,49.0,,highway,density-50
51.0,56.0,2500,50,25.0,0.0,49.0,,highway,density-50
56.0,61.0,2500,50,25.0,0.0,49.0,,highway,density-50
61.0,66.0,2500,50,25.0,0.0,49.0,,highway,density-50
66.0,71.0,2500,50,25.0,0.0,49.0,,highway,density-50
71.0,76.0,2500,50,25.0,0.0,49.0,,highway,density-50
76.0,81.0,2500,50,25.0,0.0,49.0,,highway,density-50
81.0,86.0,2500,50,25.0,0.0,49.0,,highway,density-50
86.0,91.0,2500,50,25.0,0.0,49.0,,highway,density-50
91.0,96.0,2500,50,25.0,0.0,49.0,,highway,density-50
96.0,101.0,2500,50,25.0,0.0,49.0,,highway,density-50
101.0,106.0,2500,50,25.0,0.0,49.0,,highway,density-50
106.0,111.0,2500,50,25.0,0.0,49.0,,highway,density-50
111.0,116.0,2500,50,25.0,0.0,49.0,,highway,density-50
116.0,121.0,2500,50,25.0,0.0,49.0,,highway,density-50
121.0,126.0,2500,50,25.0,0.0,49.0,,highway,density-50
126.0,131.0,2500,50,25.0,0.0,49.0,,highway,density-50
131.0,136.0,2500,50,25.0,0.0,49.0,,highway,density-50
136.0,141.0,2500,50,25.0,0.0,49.0,,highway,density-50
141.0,146.0,2500,50,25.0,0.0,49.0,,highway,density-50
146.0,151.0,2500,50,25.0,0.0,49.0,,highway,density-50
151.0,156.0,2500,50,25.0,0.0,49.0,,highway,density-50
156.0,161.0,2500,50,25.0,0.0,49.0,,highway,density-50
161.0,166.0,2500,50,25.0,0.0,49.0,,highway,density-50
166.0,171.0,2500,50,25.0,0.0,49.0,,highway,density-50
171.0,176.0,2500,50,25.0,0.0,49.0,,highway,density-50
176.0,181.0,2500,50,25.0,0.0,49.0,,highway,density-50
181.0,186.0,2500,50,25.0,0.0,49.0,,highway,density-50
186.0,191.0,2500,50,25.0,0.0,49.0,,highway,density-50
191.0,196.0,2500,50,25.0,0.0,49.0,,highway,density-50
196.0,201.0,2500,50,25.0,0.0,49.0,,highway,density-50
201.0,206.0,2500,50,25.0,0.0,49.0,,highway,density-50
206.0,211.0,2500,50,25.0,0.0,49.0,,highway,density-50
211.0,216.0,2500,50,25.0,0.0,49.0,,highway,density-50
216.0,221.0,2500,50,25.0,0.0,49.0,,highway,density-50
221.0,226.0,2500,50,25.0,0.0,49.0,,highway,density-50
226.0,231.0,2500,50,25.0,0.0,49.0,,highway,density-50
231.0,236.0,2500,50,25.0,0.0,49.0,,highway,density-50
236.0,241.0,2500,50,25.0,0.0,49.0,,highway,density-50
241.0,246.0,2500,50,25.0,0.0,49.0,,highway,density-50
246.0,251.0,2500,50,25.0,0.0,49.0,,highway,density-50
251.0,256.0,2500,50,25.0,0.0,49.0,,highway,density-50
256.0,261.0,2500,50,25.0,0.0,49.0,,highway,density-50
261.0,266.0,2500,50,25.0,0.0,49.0,,highway,density-50
266.0,271.0,2500,50,25.0,0.0,49.0,,highway,density-50
271.0,276.0,2500,50,25.0,0.0,49.0,,highway,density-50
276.0,281.0,2500,50,25.0,0.0,49.0,,highway,density-50
281.0,286.0,2500,50,25.0,0.0,49.0,,highway,density-50
286.0,291.0,2500,50,25.0,0.0,49.0,,highway,density-50
291.0,296.0,2500,50,25.0,0.0,49.0,,highway,density-50
296.0,301.0,2500,50,25.0,0.0,49.0,,highway,density-50
