t0,t1,total_msgs,unique_senders,mean_speed,var_speed,mean_neighbors,mean_rssi,scenario,density
0.0,5.0,1450,29,25.0,0.0,49.0,,highway,density-50
5.0,10.0,1450,29,25.0,0.0,49.0,,highway,density-50
10.0,15.0,1450,29,25.0,0.0,49.0,,highway,density-50
15.0,20.0,1450,29,25.0,0.0,49.0,,highway,density-50
20.0,25.0,1450,29,25.0,0.0,49.0,,highway,density-50
25.0,30.0,1450,29,25.0,0.0,49.0,,highway,density-50
30.0,35.0,1450,29,25.0,0.0,,,highway,density-50
35.0,40.0,1450,29,25.0,0.0,,,highway,density-50
40.0,45.0,1450,29,25.0,0.0,,,highway,density-50
45.0,50.0,1450,29,25.0,0.0,,,highway,density-50
0.0,5.0,1450,29,25.0,0.0,73.56,,highway,density-100
5.0,10.0,1450,29,25.0,0.0,73.56,,highway,density-100
10.0,15.0,1450,29,25.0,0.0,73.56,,highway,density-100
15.0,20.0,1450,29,25.0,0.0,73.56,,highway,density-100
20.0,25.0,1450,29,25.0,0.0,73.56,,highway,density-100
25.0,30.0,1450,29,25.0,0.0,73.56,,highway,density-100
30.0,35.0,1450,29,25.0,0.0,,,highway,density-100
35.0,40.0,1450,29,25.0,0.0,,,highway,density-100
40.0,45.0,1450,29,25.0,0.0,,,highway,density-100
45.0,50.0,1450,29,25.0,0.0,,,highway,density-100
50.0,55.0,1450,29,25.0,0.0,,,highway,density-100
55.0,60.0,1450,29,25.0,0.0,,,highway,density-100
60.0,65.0,1450,29,25.0,0.0,,,highway,density-100
65.0,70.0,1450,29,25.0,0.0,,,highway,density-100
70.0,75.0,1450,29,25.0,0.0,,,highway,density-100
75.0,80.0,1450,29,25.0,0.0,,,highway,density-100
80.0,85.0,1450,29,25.0,0.0,,,highway,density-100
85.0,90.0,1450,29,25.0,0.0,,,highway,density-100
90.0,95.0,1450,29,25.0,0.0,,,highway,density-100
95.0,100.0,1450,29,25.0,0.0,,,highway,density-100
0.0,5.0,1450,29,25.0,0.0,81.68,,highway,density-150
5.0,10.0,1450,29,25.0,0.0,81.68,,highway,density-150
10.0,15.0,1450,29,25.0,0.0,81.68,,highway,density-150
15.0,20.0,1450,29,25.0,0.0,81.68,,highway,density-150
20.0,25.0,1450,29,25.0,0.0,81.68,,highway,density-150
25.0,30.0,1450,29,25.0,0.0,81.68,,highway,density-150
30.0,35.0,1450,29,25.0,0.0,,,highway,density-150
35.0,40.0,1450,29,25.0,0.0,,,highway,density-150
40.0,45.0,1450,29,25.0,0.0,,,highway,density-150
45.0,50.0,1450,29,25.0,0.0,,,highway,density-150
50.0,55.0,1450,29,25.0,0.0,,,highway,density-150
55.0,60.0,1450,29,25.0,0.0,,,highway,density-150
60.0,65.0,1450,29,25.0,0.0,,,highway,density-150
65.0,70.0,1450,29,25.0,0.0,,,highway,density-150
70.0,75.0,1450,29,25.0,0.0,,,highway,density-150
75.0,80.0,1450,29,25.0,0.0,,,highway,density-150
80.0,85.0,1450,29,25.0,0.0,,,highway,density-150
85.0,90.0,1450,29,25.0,0.0,,,highway,density-150
90.0,95.0,1450,29,25.0,0.0,,,highway,density-150
95.0,100.0,1450,29,25.0,0.0,,,highway,density-150
100.0,105.0,1450,29,25.0,0.0,,,highway,density-150
105.0,110.0,1450,29,25.0,0.0,,,highway,density-150
110.0,115.0,1450,29,25.0,0.0,,,highway,density-150
115.0,120.0,1450,29,25.0,0.0,,,highway,density-150
120.0,125.0,1450,29,25.0,0.0,,,highway,density-150
125.0,130.0,1450,29,25.0,0.0,,,highway,density-150
130.0,135.0,1450,29,25.0,0.0,,,highway,density-150
135.0,140.0,1450,29,25.0,0.0,,,highway,density-150
140.0,145.0,1450,29,25.0,0.0,,,highway,density-150
